Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум,EMA,ATR,Value Classic,Value Signal,SuperTrend,Цвет
Cinemark Holdings Inc,usd,2020-05-05 00:00:00+05:00,13.49,13.6,13.46,13.62,,0.0,,,0.0,1
Cinemark Holdings Inc,usd,2020-05-05 00:30:00+05:00,13.6,13.71,13.56,13.73,,0.0,,,,1
Cinemark Holdings Inc,usd,2020-05-05 01:00:00+05:00,13.7,13.75,13.51,13.75,,0.0,,,,1
Cinemark Holdings Inc,usd,2020-05-05 01:30:00+05:00,13.55,14.0,13.5,14.0,,0.0,,,,1
Cinemark Holdings Inc,usd,2020-05-05 02:00:00+05:00,14.0,13.82,13.76,14.1,,0.0,,,,1
Cinemark Holdings Inc,usd,2020-05-05 02:30:00+05:00,13.8,13.77,13.77,13.82,,0.0,,,,1
Cinemark Holdings Inc,usd,2020-05-05 03:00:00+05:00,13.77,13.73,13.73,13.77,,0.0,,,,1
Cinemark Holdings Inc,usd,2020-05-05 03:30:00+05:00,13.73,13.8,13.73,14.55,,0.0,,,,1
Cinemark Holdings Inc,usd,2020-05-05 12:15:00+05:00,13.91,14.1,13.73,14.25,,0.0,,,,1
Cinemark Holdings Inc,usd,2020-05-05 12:45:00+05:00,14.05,13.96,13.68,14.11,,0.3269999999999998,,,,1
Cinemark Holdings Inc,usd,2020-05-05 13:15:00+05:00,13.81,13.79,13.79,14.09,,0.3242999999999999,,,13.398617528976564,1
Cinemark Holdings Inc,usd,2020-05-05 13:45:00+05:00,13.79,13.81,13.71,13.81,,0.3018699999999999,,,13.398617528976564,1
Cinemark Holdings Inc,usd,2020-05-05 14:15:00+05:00,13.8,13.89,13.8,13.89,,0.2806829999999999,,,13.409339089926021,1
Cinemark Holdings Inc,usd,2020-05-05 14:45:00+05:00,14.0,13.9,13.87,14.0,,0.2656147,,,13.531607336183656,1
Cinemark Holdings Inc,usd,2020-05-05 15:15:00+05:00,13.95,14.01,13.91,14.09,,0.2580532299999999,,,13.61195844353318,1
Cinemark Holdings Inc,usd,2020-05-05 15:45:00+05:00,14.0,14.16,14.0,14.16,,0.24824790699999993,,,13.710600919703648,1
Cinemark Holdings Inc,usd,2020-05-05 16:15:00+05:00,14.25,14.25,14.2,14.5,,0.2574231162999999,,,13.96334287770982,1
Cinemark Holdings Inc,usd,2020-05-05 16:45:00+05:00,14.21,14.35,14.21,14.5,,0.2606808046699999,,,13.96334287770982,1
Cinemark Holdings Inc,usd,2020-05-05 17:15:00+05:00,14.35,14.33,14.3,14.5,,0.2546127242029998,,,14.018419740869335,1
Cinemark Holdings Inc,usd,2020-05-05 17:45:00+05:00,14.33,14.1,14.02,14.43,,0.27015145178269984,,,14.018419740869335,1
Cinemark Holdings Inc,usd,2020-05-05 18:15:00+05:00,14.35,14.24,14.1,14.5,,0.2831363066044299,,,14.018419740869335,1
Cinemark Holdings Inc,usd,2020-05-05 18:45:00+05:00,14.21,14.24,14.09,14.44,,0.28982267594398686,,,14.018419740869335,1
Cinemark Holdings Inc,usd,2020-05-05 19:15:00+05:00,14.29,14.25,13.92,14.33,,0.3018404083495882,,,14.018419740869335,1
Cinemark Holdings Inc,usd,2020-05-05 19:45:00+05:00,14.2,14.15,14.12,14.42,,0.30165636751462943,,,14.018419740869335,1
Cinemark Holdings Inc,usd,2020-05-05 20:15:00+05:00,14.12,14.09,13.98,14.24,,0.29749073076316646,,,14.018419740869335,1
Cinemark Holdings Inc,usd,2020-05-05 20:45:00+05:00,14.08,13.87,13.86,14.13,,0.2947416576868499,0.09351857681961384,,14.441619586787999,-1
Cinemark Holdings Inc,usd,2020-05-05 21:15:00+05:00,13.87,13.85,13.84,13.97,,0.278267491918165,0.06717684632355514,,14.324719597791972,-1
Cinemark Holdings Inc,usd,2020-05-05 21:45:00+05:00,13.85,13.65,13.65,13.88,,0.27344074272634855,0.029818774324379405,,14.176786319995328,-1
Cinemark Holdings Inc,usd,2020-05-05 22:15:00+05:00,13.64,13.7,13.58,13.75,,0.2630966684537137,0.004198418492270761,,14.060241836360817,-1
Cinemark Holdings Inc,usd,2020-05-05 22:45:00+05:00,13.7,13.82,13.69,13.82,,0.2497870016083424,-0.0063497055185521845,,14.060241836360817,-1
Cinemark Holdings Inc,usd,2020-05-05 23:15:00+05:00,13.81,13.71,13.69,13.83,,0.23880830144750825,-0.023316472700612323,,14.060241836360817,-1
Cinemark Holdings Inc,usd,2020-05-06 00:00:00+05:00,13.62,13.4,13.38,13.64,,0.24792747130275744,-0.06107315385236056,,13.881417345729163,-1
Cinemark Holdings Inc,usd,2020-05-06 00:30:00+05:00,13.39,13.23,13.18,13.43,,0.2481347241724817,-0.10351986240313593,,13.676788350279462,-1
Cinemark Holdings Inc,usd,2020-05-06 01:00:00+05:00,13.24,13.35,13.24,13.7,,0.2703212517552334,-0.1260234675366121,-0.032147084970366065,13.676788350279462,-1
Cinemark Holdings Inc,usd,2020-05-06 01:30:00+05:00,13.25,13.88,13.25,13.98,,0.31628912657971014,-0.09993913004817756,-0.04570549398592837,13.137974492159426,1
Cinemark Holdings Inc,usd,2020-05-06 02:00:00+05:00,13.88,13.92,13.88,13.94,,0.290660213921739,-0.07517289264215954,-0.051598973717174604,13.47267070077471,1
