Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум,EMA,ATR,Value Classic,Value Signal,SuperTrend,Цвет
ЛУКОЙЛ,rub,2020-05-05 12:00:00+05:00,4950.0,4923.5,4905.0,4985.0,,0.0,,,0.0,1
ЛУКОЙЛ,rub,2020-05-05 12:30:00+05:00,4925.0,4910.5,4886.5,4936.0,,0.0,,,,1
ЛУКОЙЛ,rub,2020-05-05 13:00:00+05:00,4910.5,4917.0,4899.0,4921.5,,0.0,,,,1
ЛУКОЙЛ,rub,2020-05-05 13:30:00+05:00,4916.0,4886.5,4880.0,4920.0,,0.0,,,,1
ЛУКОЙЛ,rub,2020-05-05 14:00:00+05:00,4886.0,4902.0,4884.0,4907.5,,0.0,,,,1
ЛУКОЙЛ,rub,2020-05-05 14:30:00+05:00,4902.0,4921.0,4901.5,4940.0,,0.0,,,,1
ЛУКОЙЛ,rub,2020-05-05 15:00:00+05:00,4921.5,4931.5,4918.0,4936.0,,0.0,,,,1
ЛУКОЙЛ,rub,2020-05-05 15:30:00+05:00,4931.0,4932.0,4918.0,4940.0,,0.0,,,,1
ЛУКОЙЛ,rub,2020-05-05 16:00:00+05:00,4933.0,4931.0,4921.5,4937.0,,0.0,,,,1
ЛУКОЙЛ,rub,2020-05-05 16:30:00+05:00,4931.0,4936.5,4929.5,4944.5,,32.45,,,,1
ЛУКОЙЛ,rub,2020-05-05 17:00:00+05:00,4937.0,4945.0,4933.0,4946.0,,30.505000000000003,,,4904.927162209965,1
ЛУКОЙЛ,rub,2020-05-05 17:30:00+05:00,4945.0,4960.0,4944.5,4970.0,,30.0045,,,4922.141280689642,1
ЛУКОЙЛ,rub,2020-05-05 18:00:00+05:00,4960.0,4952.5,4941.5,4966.0,,29.454050000000002,,,4922.141280689642,1
ЛУКОЙЛ,rub,2020-05-05 18:30:00+05:00,4950.5,4934.0,4929.5,4954.0,,28.958645,,,4922.141280689642,1
ЛУКОЙЛ,rub,2020-05-05 19:00:00+05:00,4933.5,4954.5,4929.0,4956.5,,28.812780500000002,,,4922.141280689642,1
ЛУКОЙЛ,rub,2020-05-05 19:30:00+05:00,4955.0,4955.0,4951.0,4977.0,,28.531502450000005,,,4927.3871589282035,1
ЛУКОЙЛ,rub,2020-05-05 20:00:00+05:00,4954.0,4977.5,4944.0,4984.0,,29.678352205000003,,,4927.3871589282035,1
