Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум,EMA,ATR,Value Classic,Value Signal,SuperTrend,Цвет
РУСАЛ,rub,2020-05-05 12:00:00+05:00,26.345,26.285,26.075,26.5,,0.0,,,0.0,1
РУСАЛ,rub,2020-05-05 12:30:00+05:00,26.285,26.24,26.24,26.33,,0.0,,,,1
РУСАЛ,rub,2020-05-05 13:00:00+05:00,26.25,26.31,26.18,26.33,,0.0,,,,1
РУСАЛ,rub,2020-05-05 13:30:00+05:00,26.305,26.215,26.11,26.315,,0.0,,,,1
РУСАЛ,rub,2020-05-05 14:00:00+05:00,26.215,26.225,26.19,26.285,,0.0,,,,1
РУСАЛ,rub,2020-05-05 14:30:00+05:00,26.225,26.49,26.215,26.53,,0.0,,,,1
РУСАЛ,rub,2020-05-05 15:00:00+05:00,26.49,26.31,26.295,26.51,,0.0,,,,1
РУСАЛ,rub,2020-05-05 15:30:00+05:00,26.325,26.42,26.31,26.44,,0.0,,,,1
РУСАЛ,rub,2020-05-05 16:00:00+05:00,26.415,26.375,26.31,26.415,,0.0,,,,1
РУСАЛ,rub,2020-05-05 16:30:00+05:00,26.395,26.46,26.38,26.49,,0.1850000000000005,,,,1
РУСАЛ,rub,2020-05-05 17:00:00+05:00,26.465,26.41,26.365,26.465,,0.1765000000000006,,,26.193355670778555,1
РУСАЛ,rub,2020-05-05 17:30:00+05:00,26.43,26.4,26.375,26.44,,0.16535000000000066,,,26.20394751663249,1
РУСАЛ,rub,2020-05-05 18:00:00+05:00,26.4,26.425,26.385,26.46,,0.1563150000000005,,,26.2316365120687,1
РУСАЛ,rub,2020-05-05 18:30:00+05:00,26.425,26.42,26.385,26.45,,0.14718350000000022,,,26.239154855904072,1
РУСАЛ,rub,2020-05-05 19:00:00+05:00,26.42,26.44,26.375,26.48,,0.14296515000000024,,,26.2518576926713,1
РУСАЛ,rub,2020-05-05 19:30:00+05:00,26.445,26.435,26.415,26.48,,0.13516863500000034,,,26.281697943861893,1
РУСАЛ,rub,2020-05-05 20:00:00+05:00,26.45,26.415,26.405,26.455,,0.1266517715,,,26.281697943861893,1
РУСАЛ,rub,2020-05-05 20:30:00+05:00,26.415,26.43,26.38,26.43,,0.11898659435000007,,,26.281697943861893,1
РУСАЛ,rub,2020-05-06 12:00:00+05:00,26.455,26.525,26.355,26.615,,0.13308793491499987,,,26.311088049427966,1
РУСАЛ,rub,2020-05-06 12:30:00+05:00,26.525,26.32,26.29,26.55,,0.14577914142350004,,,26.311088049427966,1
РУСАЛ,rub,2020-05-06 13:00:00+05:00,26.335,26.44,26.335,26.495,,0.14870122728115012,,,26.311088049427966,1
РУСАЛ,rub,2020-05-06 13:30:00+05:00,26.46,26.55,26.42,26.55,,0.146831104553035,,,26.311088049427966,1
РУСАЛ,rub,2020-05-06 14:00:00+05:00,26.55,26.585,26.49,26.6,,0.1431479940977318,,,26.344538330126795,1
РУСАЛ,rub,2020-05-06 14:30:00+05:00,26.57,26.585,26.535,26.595,,0.13483319468795849,,,26.376658719745915,1
РУСАЛ,rub,2020-05-06 15:00:00+05:00,26.585,26.565,26.5,26.595,,0.13084987521916253,,,26.376658719745915,1
РУСАЛ,rub,2020-05-06 15:30:00+05:00,26.545,26.575,26.525,26.6,,0.12526488769724656,0.06246227721467079,,26.386774227777124,1
РУСАЛ,rub,2020-05-06 16:00:00+05:00,26.585,26.535,26.52,26.6,,0.1207383989275221,0.06037915573753594,,26.390231723688817,1
РУСАЛ,rub,2020-05-06 16:30:00+05:00,26.535,26.49,26.45,26.6,,0.1236645590347701,0.05446925536954694,,26.390231723688817,1
РУСАЛ,rub,2020-05-06 17:00:00+05:00,26.49,26.41,26.325,26.52,,0.13079810313129311,0.04283649291178193,,26.390231723688817,1
РУСАЛ,rub,2020-05-06 17:30:00+05:00,26.38,26.29,26.245,26.405,,0.13421829281816372,0.023661690497160492,,26.519212424258104,-1
РУСАЛ,rub,2020-05-06 18:00:00+05:00,26.285,26.365,26.28,26.41,,0.13379646353634725,0.01435195424072333,,26.519212424258104,-1
РУСАЛ,rub,2020-05-06 18:30:00+05:00,26.385,26.315,26.255,26.395,,0.1344168171827126,0.0029058423105716713,,26.519212424258104,-1
РУСАЛ,rub,2020-05-06 19:00:00+05:00,26.325,26.425,26.28,26.435,,0.13647513546444107,0.002679904561190938,,26.519212424258104,-1
РУСАЛ,rub,2020-05-06 19:30:00+05:00,26.43,26.345,26.31,26.495,,0.1413276219179972,-0.003909418798709652,0.0221018611920545,26.519212424258104,-1
РУСАЛ,rub,2020-05-06 20:00:00+05:00,26.335,26.24,26.12,26.335,,0.14969485972619725,-0.017403510675571,0.0142007868185294,26.448588442774632,-1
РУСАЛ,rub,2020-05-06 20:30:00+05:00,26.26,26.17,26.15,26.28,,0.1477253737535778,-0.03336151985914526,0.004688325482994469,26.433412618453367,-1
РУСАЛ,rub,2020-05-07 12:00:00+05:00,26.13,26.2,26.005,26.3,,0.1624528363782202,-0.043090882953293885,-0.0048675162042632015,26.393837824816632,-1
РУСАЛ,rub,2020-05-07 12:30:00+05:00,26.22,26.165,26.16,26.27,,0.15720755274039813,-0.05301456192502485,-0.014496925348415533,26.393837824816632,-1
РУСАЛ,rub,2020-05-07 13:00:00+05:00,26.16,26.2,26.05,26.215,,0.15798679746635824,-0.057393346738489726,-0.023076209626430373,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 13:30:00+05:00,26.195,26.225,26.19,26.265,,0.14968811771972235,-0.05817566137310237,-0.030096099975764776,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 14:00:00+05:00,26.22,26.245,26.185,26.295,,0.1457193059477504,-0.056530173848958754,-0.035382914750403574,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 14:30:00+05:00,26.265,26.3,26.225,26.35,,0.14364737535297536,-0.050209291328915384,-0.03834819006610594,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 15:00:00+05:00,26.3,26.2,26.19,26.325,,0.14278263781767764,-0.052662055265304986,-0.04121096310594575,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 15:30:00+05:00,26.2,26.235,26.18,26.28,,0.13850437403591004,-0.051191576238078795,-0.043207085732372356,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 16:00:00+05:00,26.23,26.22,26.18,26.3,,0.13665393663231912,-0.0506526929405382,-0.04469620717400553,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 16:30:00+05:00,26.24,26.325,26.2,26.35,,0.1379885429690874,-0.041277183884734114,-0.044012402516151246,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 17:00:00+05:00,26.325,26.215,26.19,26.325,,0.13768968867217848,-0.04223623309874114,-0.043657168632669226,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 17:30:00+05:00,26.21,26.18,26.15,26.26,,0.13492071980496095,-0.04529832313138016,-0.043985399532411415,26.36746739039094,-1
РУСАЛ,rub,2020-05-07 18:00:00+05:00,26.17,26.175,26.12,26.195,,0.12892864782446478,-0.047580036711011076,-0.04470432696813135,26.349920436865368,-1
РУСАЛ,rub,2020-05-07 18:30:00+05:00,26.175,26.045,25.94,26.19,,0.1410357830420183,-0.05919585177526798,-0.04760263192955867,26.275783548008768,-1
РУСАЛ,rub,2020-05-07 19:00:00+05:00,26.045,25.955,25.905,26.08,,0.1444322047378162,-0.07480145216150902,-0.053042395975948745,26.20848198478245,-1
РУСАЛ,rub,2020-05-07 19:30:00+05:00,25.945,25.925,25.915,26.02,,0.1404889842640346,-0.08856878634261989,-0.06014767404928298,26.177606533625152,-1
РУСАЛ,rub,2020-05-07 20:00:00+05:00,25.95,26.0,25.92,26.015,,0.13594008583763104,-0.09236292239513944,-0.06659072371845427,26.170817539212255,-1
РУСАЛ,rub,2020-05-07 20:30:00+05:00,26.0,26.0,25.98,26.07,,0.1313460772538679,-0.09428296719531915,-0.07212917241382726,26.170817539212255,-1
РУСАЛ,rub,2020-05-08 12:00:00+05:00,26.115,25.88,25.81,26.115,,0.14871146952848108,-0.10428547560348633,-0.07856043305175907,26.170817539212255,-1
РУСАЛ,rub,2020-05-08 12:30:00+05:00,25.9,25.81,25.785,25.925,,0.147840322575633,-0.1165178058309273,-0.08615190760759273,26.07638346526437,-1
РУСАЛ,rub,2020-05-08 13:00:00+05:00,25.8,25.96,25.755,25.96,,0.1535562903180699,-0.11280789013071058,-0.0914831041122163,26.07638346526437,-1
РУСАЛ,rub,2020-05-08 13:30:00+05:00,25.955,25.945,25.885,25.965,,0.14620066128626272,-0.10981228221594463,-0.09514893973296198,26.07638346526437,-1
РУСАЛ,rub,2020-05-08 14:45:00+05:00,25.94,25.9,25.87,26.06,,0.15058059515763622,-0.10980361752812229,-0.09807987529199405,26.07638346526437,-1
РУСАЛ,rub,2020-05-08 15:15:00+05:00,25.9,25.94,25.835,25.97,,0.1490225356418724,-0.10535462248748928,-0.0995348247310931,26.07638346526437,-1
РУСАЛ,rub,2020-05-08 15:45:00+05:00,25.94,25.8,25.75,25.955,,0.154620282077685,-0.11183641130194744,-0.10199514204526397,26.07638346526437,-1
РУСАЛ,rub,2020-05-08 16:15:00+05:00,25.8,25.82,25.705,25.83,,0.1516582538699165,-0.11404480525855121,-0.10440507468792143,25.994796581000454,-1
РУСАЛ,rub,2020-05-08 16:45:00+05:00,25.82,25.905,25.78,25.92,,0.1504924284829249,-0.10769474576292026,-0.10506300890292121,25.994796581000454,-1
РУСАЛ,rub,2020-05-08 17:15:00+05:00,25.91,25.925,25.85,25.975,,0.14794318563463243,-0.09989689577901473,-0.10402978627813991,25.994796581000454,-1
РУСАЛ,rub,2020-05-08 17:45:00+05:00,25.925,25.93,25.855,25.96,,0.14364886707116925,-0.09225018259186157,-0.10167386554088426,25.994796581000454,-1
РУСАЛ,rub,2020-05-08 18:15:00+05:00,25.93,25.915,25.88,25.95,,0.13628398036405237,-0.08640446505102162,-0.09861998544291174,25.994796581000454,-1
РУСАЛ,rub,2020-05-08 18:45:00+05:00,25.925,26.055,25.91,26.095,,0.141155582327647,-0.0696717294842557,-0.09283033425118054,25.790894276731855,1
РУСАЛ,rub,2020-05-08 19:15:00+05:00,26.075,26.05,25.975,26.095,,0.13904002409488203,-0.0561669169520691,-0.08549765079135825,25.826557567921544,1
РУСАЛ,rub,2020-05-08 19:45:00+05:00,26.04,25.95,25.88,26.04,,0.14213602168539402,-0.05292335252426028,-0.07898279113793866,25.826557567921544,1
РУСАЛ,rub,2020-05-08 20:15:00+05:00,25.915,25.905,25.805,25.95,,0.14242241951685458,-0.05336872680419802,-0.07385997827119054,25.826557567921544,1
РУСАЛ,rub,2020-05-12 12:00:00+05:00,25.84,25.675,25.44,25.84,,0.17468017756516913,-0.07145705449583772,-0.07337939351611998,25.901968071013037,-1
РУСАЛ,rub,2020-05-12 12:30:00+05:00,25.675,25.725,25.65,25.73,,0.1652121598086524,-0.08082589180984456,-0.0748686931748649,25.901968071013037,-1
РУСАЛ,rub,2020-05-12 13:00:00+05:00,25.725,25.85,25.705,25.935,,0.1716909438277872,-0.0772735462090246,-0.07534966378169684,25.901968071013037,-1
РУСАЛ,rub,2020-05-12 13:30:00+05:00,25.845,25.665,25.66,25.845,,0.17352184944500862,-0.08836759400087857,-0.07795324982553319,25.901968071013037,-1
РУСАЛ,rub,2020-05-12 14:00:00+05:00,25.665,25.685,25.66,25.725,,0.16266966450050788,-0.0944570320828042,-0.0812540062769874,25.901968071013037,-1
РУСАЛ,rub,2020-05-12 14:30:00+05:00,25.695,25.705,25.65,25.71,,0.1524026980504573,-0.09655608434547602,-0.08431442189068512,25.901968071013037,-1
РУСАЛ,rub,2020-05-12 15:00:00+05:00,25.7,25.665,25.64,25.74,,0.14716242824541137,-0.10029116991485765,-0.08750977149551964,25.901968071013037,-1
РУСАЛ,rub,2020-05-12 15:30:00+05:00,25.665,25.69,25.645,25.76,,0.14394618542087043,-0.10008029769810634,-0.09002387673603698,25.901968071013037,-1
РУСАЛ,rub,2020-05-12 16:00:00+05:00,25.675,25.705,25.66,25.725,,0.1360515668787835,-0.09757798701321008,-0.09153469879147161,25.89653925728542,-1
РУСАЛ,rub,2020-05-12 16:30:00+05:00,25.72,25.655,25.63,25.72,,0.13144641019090514,-0.09849409132545972,-0.09292657729826923,25.872133655225802,-1
РУСАЛ,rub,2020-05-12 17:00:00+05:00,25.635,25.565,25.56,25.67,,0.12930176917181493,-0.10526888426154812,-0.095395038690925,25.80891958751139,-1
РУСАЛ,rub,2020-05-12 17:30:00+05:00,25.58,25.48,25.45,25.7,,0.14137159225463344,-0.11615775184097643,-0.09954758132093529,25.78703118999122,-1
РУСАЛ,rub,2020-05-12 18:00:00+05:00,25.46,25.615,25.45,25.645,,0.14673443302917014,-0.11259595006598389,-0.10215725506994502,25.767579495255173,-1
РУСАЛ,rub,2020-05-12 18:30:00+05:00,25.61,25.5,25.46,25.615,,0.1475609897262529,-0.11769600907343047,-0.10526500587064212,25.758821743579954,-1
РУСАЛ,rub,2020-05-12 19:00:00+05:00,25.5,25.58,25.495,25.615,,0.14480489075362735,-0.11396875035762832,-0.10700575476803936,25.758821743579954,-1
РУСАЛ,rub,2020-05-12 19:30:00+05:00,25.58,25.665,25.555,25.705,,0.1453244016782645,-0.10296911745655635,-0.10619842730574276,25.758821743579954,-1
РУСАЛ,rub,2020-05-12 20:00:00+05:00,25.665,25.73,25.6,25.825,,0.15329196151043784,-0.08799254903028597,-0.10255725165065141,25.758821743579954,-1
РУСАЛ,rub,2020-05-12 20:30:00+05:00,25.73,25.79,25.7,25.82,,0.14996276535939415,-0.07046968147090027,-0.0961397376147012,25.535068426825607,1
РУСАЛ,rub,2020-05-13 12:00:00+05:00,25.535,25.27,25.25,25.6,,0.18896648882345465,-0.09741934726942958,-0.09639565954564688,25.70844391871536,-1
РУСАЛ,rub,2020-05-13 12:30:00+05:00,25.27,25.26,25.125,25.38,,0.19556983994110907,-0.11822128660139342,-0.10076078495679619,25.545850365340304,-1
РУСАЛ,rub,2020-05-13 13:00:00+05:00,25.235,25.405,25.2,25.425,,0.1985128559469983,-0.1216048996210084,-0.10492960788963863,25.545850365340304,-1
РУСАЛ,rub,2020-05-13 13:30:00+05:00,25.43,25.35,25.24,25.54,,0.20866157035229854,-0.12725753204810175,-0.10939519272133126,25.545850365340304,-1
РУСАЛ,rub,2020-05-13 14:00:00+05:00,25.35,25.445,25.29,25.49,,0.2077954133170686,-0.12265765680382046,-0.11204768553782911,25.545850365340304,-1
РУСАЛ,rub,2020-05-13 14:30:00+05:00,25.425,25.48,25.405,25.545,,0.2010158719853618,-0.11486393509614956,-0.11261093544949322,25.545850365340304,-1
РУСАЛ,rub,2020-05-13 15:00:00+05:00,25.465,25.54,25.415,25.55,,0.1944142847868258,-0.10266242737536757,-0.11062123383466808,25.545850365340304,-1
РУСАЛ,rub,2020-05-13 15:30:00+05:00,25.54,25.495,25.48,25.565,,0.1834728563081433,-0.0955226429516749,-0.10760151565806945,25.545850365340304,-1
РУСАЛ,rub,2020-05-13 16:00:00+05:00,25.5,25.55,25.5,25.565,,0.172125570677329,-0.08445275324135437,-0.10297176317472644,25.27431516952715,1
РУСАЛ,rub,2020-05-13 16:30:00+05:00,25.55,25.58,25.525,25.58,,0.1604130136095961,-0.07242417579604776,-0.0968622456989907,25.31188429271228,1
РУСАЛ,rub,2020-05-13 17:00:00+05:00,25.58,25.565,25.545,25.58,,0.14787171224863613,-0.06337131112184835,-0.09016405878356223,25.340696480327495,1
РУСАЛ,rub,2020-05-13 17:30:00+05:00,25.57,25.56,25.515,25.575,,0.13908454102377238,-0.05595529109366737,-0.08332230524558328,25.340696480327495,1
РУСАЛ,rub,2020-05-13 18:00:00+05:00,25.55,25.565,25.405,25.575,,0.14217608692139497,-0.04910849145798224,-0.07647954248806307,25.340696480327495,1
РУСАЛ,rub,2020-05-13 18:30:00+05:00,25.57,25.52,25.415,25.575,,0.1439584782292555,-0.04677429241056075,-0.07053849247256261,25.340696480327495,1
РУСАЛ,rub,2020-05-13 19:00:00+05:00,25.505,25.345,25.32,25.54,,0.15156263040632983,-0.05837257757385572,-0.06810530949282123,25.340696480327495,1
РУСАЛ,rub,2020-05-13 19:30:00+05:00,25.345,25.27,25.27,25.42,,0.15140636736569707,-0.07277724455280321,-0.06903969650481763,25.572107263029178,-1
РУСАЛ,rub,2020-05-13 20:00:00+05:00,25.27,25.325,25.2,25.345,,0.15076573062912732,-0.07884611760408333,-0.07100098072467077,25.498646519983456,-1
РУСАЛ,rub,2020-05-13 20:30:00+05:00,25.34,25.35,25.23,25.35,,0.14768915756621467,-0.08070809942369905,-0.07294240446447643,25.498646519983456,-1
РУСАЛ,rub,2020-05-14 12:00:00+05:00,25.37,25.27,25.21,25.37,,0.14892024180959323,-0.0876289330496256,-0.07587971018150627,25.498646519983456,-1
РУСАЛ,rub,2020-05-14 12:30:00+05:00,25.25,25.1,25.075,25.285,,0.155028217628634,-0.1056138718386066,-0.08182654251292634,25.41254089430357,-1
РУСАЛ,rub,2020-05-14 13:00:00+05:00,25.095,25.295,25.0,25.295,,0.16902539586577076,-0.10294550340445952,-0.086050334691233,25.40103704493924,-1
РУСАЛ,rub,2020-05-14 13:30:00+05:00,25.29,25.3,25.25,25.325,,0.15962285627919362,-0.0992828728260875,-0.08869684231820389,25.40103704493924,-1
РУСАЛ,rub,2020-05-14 14:00:00+05:00,25.3,25.3,25.265,25.315,,0.14866057065127433,-0.09528186171396058,-0.09001384619735524,25.40103704493924,-1
РУСАЛ,rub,2020-05-14 14:30:00+05:00,25.305,25.24,25.15,25.305,,0.149294513586147,-0.09584765800258666,-0.09118060855840153,25.40103704493924,-1
РУСАЛ,rub,2020-05-14 15:00:00+05:00,25.24,25.235,25.2,25.265,,0.14086506222753242,-0.09559752508909014,-0.09206399186453926,25.40103704493924,-1
РУСАЛ,rub,2020-05-14 15:30:00+05:00,25.235,25.235,25.15,25.25,,0.13677855600477934,-0.0943121215233731,-0.09251361779630603,25.40103704493924,-1
РУСАЛ,rub,2020-05-14 16:00:00+05:00,25.23,25.21,25.165,25.25,,0.1316007004043015,-0.09422455894027593,-0.0928558060251,25.40103704493924,-1
РУСАЛ,rub,2020-05-14 16:30:00+05:00,25.21,25.195,25.18,25.255,,0.12594063036387126,-0.09427875282599985,-0.09314039538527998,25.40103704493924,-1
РУСАЛ,rub,2020-05-14 17:00:00+05:00,25.18,25.11,25.105,25.21,,0.12384656732748418,-0.1000274374620922,-0.09451780380064242,25.34326906594572,-1
РУСАЛ,rub,2020-05-14 17:30:00+05:00,25.105,25.04,24.92,25.12,,0.1314619105947357,-0.10897552442812497,-0.09740934792613895,25.21719220995217,-1
РУСАЛ,rub,2020-05-14 18:00:00+05:00,25.04,25.12,25.015,25.13,,0.12981571953526197,-0.10836248117441372,-0.09959997457579392,25.21719220995217,-1
РУСАЛ,rub,2020-05-14 18:30:00+05:00,25.09,25.105,25.0,25.19,,0.1358341475817359,-0.1078438577571248,-0.1012487512120601,25.21719220995217,-1
РУСАЛ,rub,2020-05-14 19:00:00+05:00,25.075,25.295,25.06,25.45,,0.16125073282356236,-0.09105184388024767,-0.09920936974569762,25.013124234650675,1
РУСАЛ,rub,2020-05-14 19:30:00+05:00,25.265,25.685,25.265,25.74,,0.19262565954120592,-0.0457469686903309,-0.08851688953462429,25.21356167440668,1
РУСАЛ,rub,2020-05-14 20:00:00+05:00,25.675,25.28,25.27,25.795,,0.22586309358708556,-0.04203805543679806,-0.07922112271505904,25.21356167440668,1
РУСАЛ,rub,2020-05-14 20:30:00+05:00,25.3,25.4,25.245,25.48,,0.22677678422837694,-0.02908049598817186,-0.06919299736968161,25.21356167440668,1
РУСАЛ,rub,2020-05-15 12:00:00+05:00,25.515,25.495,25.4,25.6,,0.22409910580553954,-0.011018812705192005,-0.05755816043678369,25.21356167440668,1
РУСАЛ,rub,2020-05-15 12:30:00+05:00,25.5,25.3,25.265,25.515,,0.2266891952249856,-0.01229790628456584,-0.04850610960634012,25.21356167440668,1
РУСАЛ,rub,2020-05-15 13:00:00+05:00,25.315,25.48,25.295,25.5,,0.22452027570248684,0.0011990763103355562,-0.03856507242300499,25.21356167440668,1
РУСАЛ,rub,2020-05-15 13:30:00+05:00,25.48,25.455,25.41,25.5,,0.21106824813223812,0.009765668641836811,-0.028898924210036633,25.21356167440668,1
РУСАЛ,rub,2020-05-15 14:00:00+05:00,25.455,25.44,25.375,25.53,,0.20546142331901446,0.01516951541276157,-0.020085236285476996,25.21356167440668,1
РУСАЛ,rub,2020-05-15 14:30:00+05:00,25.465,25.39,25.365,25.505,,0.19891528098711306,0.015241822536275151,-0.013019824521126565,25.21356167440668,1
