,Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум,EMA,ATR,Value Classic,Value Signal,SuperTrend,Цвет
0,ЛУКОЙЛ,rub,2020-05-05 12:00:00+05:00,4950.0,4925.0,4905.0,4985.0,,0.0,,,0.0,1
1,ЛУКОЙЛ,rub,2020-05-05 12:30:00+05:00,4925.0,4906.5,4900.5,4936.0,,0.0,,,,1
2,ЛУКОЙЛ,rub,2020-05-05 13:00:00+05:00,4910.5,4909.5,4899.0,4921.5,,0.0,,,,1
3,ЛУКОЙЛ,rub,2020-05-05 13:30:00+05:00,4916.0,4903.5,4901.5,4920.0,,0.0,,,,1
4,ЛУКОЙЛ,rub,2020-05-05 14:00:00+05:00,4886.0,4900.0,4884.0,4907.5,,0.0,,,,1
5,ЛУКОЙЛ,rub,2020-05-05 14:30:00+05:00,4902.0,4918.5,4901.5,4919.5,,0.0,,,,1
6,ЛУКОЙЛ,rub,2020-05-05 15:00:00+05:00,4921.5,4926.5,4918.0,4936.0,,0.0,,,,1
7,ЛУКОЙЛ,rub,2020-05-05 15:30:00+05:00,4931.0,4923.5,4921.5,4940.0,,0.0,,,,1
8,ЛУКОЙЛ,rub,2020-05-05 16:00:00+05:00,4933.0,4931.0,4930.0,4937.0,,0.0,,,,1
9,ЛУКОЙЛ,rub,2020-05-05 16:30:00+05:00,4931.0,4935.0,4929.5,4939.0,,25.9,,,,1
10,ЛУКОЙЛ,rub,2020-05-05 17:00:00+05:00,4937.0,4940.0,4933.0,4942.5,,24.259999999999998,,,4912.285124228466,1
11,ЛУКОЙЛ,rub,2020-05-05 17:30:00+05:00,4945.0,4965.5,4944.5,4970.0,,24.833999999999996,,,4928.9382245070265,1
12,ЛУКОЙЛ,rub,2020-05-05 18:00:00+05:00,4960.0,4948.0,4945.5,4966.0,,24.400599999999997,,,4928.9382245070265,1
13,ЛУКОЙЛ,rub,2020-05-05 18:30:00+05:00,4950.5,4947.5,4937.0,4954.0,,23.660539999999997,,,4928.9382245070265,1
14,ЛУКОЙЛ,rub,2020-05-05 19:00:00+05:00,4933.5,4938.5,4929.0,4942.0,,23.144485999999997,,,4928.9382245070265,1
15,ЛУКОЙЛ,rub,2020-05-05 19:30:00+05:00,4955.0,4961.5,4954.0,4969.0,,23.8800374,,,4931.118917042546,1
16,ЛУКОЙЛ,rub,2020-05-05 20:00:00+05:00,4954.0,4956.5,4944.0,4964.0,,23.492033659999997,,,4931.118917042546,1
17,ЛУКОЙЛ,rub,2020-05-05 20:30:00+05:00,4977.5,4976.0,4970.0,4980.0,,23.492830293999997,,,4944.075735417973,1
