,Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум,EMA,ATR,Value Classic,Value Signal,SuperTrend,Цвет
0,РУСАЛ,rub,2020-05-05 12:00:00+05:00,26.345,26.15,26.075,26.5,,0.0,,,0.0,1
1,РУСАЛ,rub,2020-05-05 12:30:00+05:00,26.285,26.29,26.27,26.33,,0.0,,,,1
2,РУСАЛ,rub,2020-05-05 13:00:00+05:00,26.25,26.275,26.18,26.285,,0.0,,,,1
3,РУСАЛ,rub,2020-05-05 13:30:00+05:00,26.305,26.275,26.275,26.315,,0.0,,,,1
4,РУСАЛ,rub,2020-05-05 14:00:00+05:00,26.215,26.25,26.19,26.285,,0.0,,,,1
5,РУСАЛ,rub,2020-05-05 14:30:00+05:00,26.225,26.33,26.215,26.4,,0.0,,,,1
6,РУСАЛ,rub,2020-05-05 15:00:00+05:00,26.49,26.45,26.435,26.51,,0.0,,,,1
7,РУСАЛ,rub,2020-05-05 15:30:00+05:00,26.325,26.36,26.31,26.44,,0.0,,,,1
8,РУСАЛ,rub,2020-05-05 16:00:00+05:00,26.415,26.38,26.31,26.415,,0.0,,,,1
9,РУСАЛ,rub,2020-05-05 16:30:00+05:00,26.395,26.42,26.38,26.42,,0.15000000000000072,,,,1
10,РУСАЛ,rub,2020-05-05 17:00:00+05:00,26.465,26.38,26.365,26.465,,0.1450000000000008,,,26.245232588439144,1
11,РУСАЛ,rub,2020-05-05 17:30:00+05:00,26.43,26.425,26.42,26.44,,0.13650000000000095,,,26.271857281432993,1
12,РУСАЛ,rub,2020-05-05 18:00:00+05:00,26.4,26.4,26.395,26.435,,0.12685000000000077,,,26.271857281432993,1
13,РУСАЛ,rub,2020-05-05 18:30:00+05:00,26.425,26.43,26.385,26.45,,0.12066500000000047,,,26.279331602335287,1
14,РУСАЛ,rub,2020-05-05 19:00:00+05:00,26.42,26.375,26.375,26.48,,0.11909850000000047,,,26.286825015414095,1
15,РУСАЛ,rub,2020-05-05 19:30:00+05:00,26.445,26.475,26.415,26.48,,0.11768865000000046,,,26.304706286346317,1
16,РУСАЛ,rub,2020-05-05 20:00:00+05:00,26.45,26.42,26.405,26.455,,0.11291978500000044,,,26.304706286346317,1
17,РУСАЛ,rub,2020-05-05 20:30:00+05:00,26.415,26.42,26.38,26.43,,0.10662780650000045,,,26.304706286346317,1
0,РУСАЛ,rub,2020-05-06 12:00:00+05:00,26.455,26.56,26.355,26.615,,0.1219650258500002,,,26.323900832296985,1
1,РУСАЛ,rub,2020-05-06 12:30:00+05:00,26.525,26.315,26.305,26.55,,0.13526852326500008,,,26.614197160137646,-1
2,РУСАЛ,rub,2020-05-06 13:00:00+05:00,26.335,26.46,26.335,26.495,,0.13974167093850004,,,26.611180382583594,-1
3,РУСАЛ,rub,2020-05-06 13:30:00+05:00,26.46,26.5,26.42,26.505,,0.13426750384464975,,,26.611180382583594,-1
