,Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум,EMA,ATR,Value Classic,Value Signal,SuperTrend,Цвет
0,Сургутнефтегаз,rub,2020-05-05 12:00:00+05:00,36.99,37.06,36.91,37.195,,0.0,,,0.0,1
1,Сургутнефтегаз,rub,2020-05-05 12:30:00+05:00,37.12,37.21,37.095,37.315,,0.0,,,,1
2,Сургутнефтегаз,rub,2020-05-05 13:00:00+05:00,37.04,36.915,36.845,37.05,,0.0,,,,1
3,Сургутнефтегаз,rub,2020-05-05 13:30:00+05:00,36.86,36.775,36.765,36.92,,0.0,,,,1
4,Сургутнефтегаз,rub,2020-05-05 14:00:00+05:00,36.785,36.85,36.75,36.885,,0.0,,,,1
5,Сургутнефтегаз,rub,2020-05-05 14:30:00+05:00,36.65,36.82,36.625,36.82,,0.0,,,,1
6,Сургутнефтегаз,rub,2020-05-05 15:00:00+05:00,36.825,36.73,36.73,36.83,,0.0,,,,1
7,Сургутнефтегаз,rub,2020-05-05 15:30:00+05:00,36.55,36.61,36.53,36.67,,0.0,,,,1
8,Сургутнефтегаз,rub,2020-05-05 16:00:00+05:00,36.58,36.64,36.575,36.69,,0.0,,,,1
9,Сургутнефтегаз,rub,2020-05-05 16:30:00+05:00,36.705,36.67,36.66,36.72,,0.1914999999999992,,,,1
10,Сургутнефтегаз,rub,2020-05-05 17:00:00+05:00,36.74,36.71,36.69,36.775,,0.18284999999999896,,,36.498465010969156,1
11,Сургутнефтегаз,rub,2020-05-05 17:30:00+05:00,36.82,36.88,36.8,36.905,,0.1840649999999991,,,36.609944767048745,1
12,Сургутнефтегаз,rub,2020-05-05 18:00:00+05:00,36.94,36.965,36.905,37.14,,0.19165849999999898,,,36.759396991667124,1
13,Сургутнефтегаз,rub,2020-05-05 18:30:00+05:00,37.0,37.075,36.955,37.18,,0.19499264999999924,,,36.794421709652255,1
14,Сургутнефтегаз,rub,2020-05-05 19:00:00+05:00,36.94,36.835,36.785,36.99,,0.20449338499999997,,,36.794421709652255,1
15,Сургутнефтегаз,rub,2020-05-05 19:30:00+05:00,36.79,36.69,36.69,36.82,,0.1985440465000003,,,37.0394307952728,-1
16,Сургутнефтегаз,rub,2020-05-05 20:00:00+05:00,36.69,36.755,36.69,36.79,,0.18868964185000042,,,37.00793010441692,-1
17,Сургутнефтегаз,rub,2020-05-05 20:30:00+05:00,36.74,36.96,36.74,37.02,,0.1978206776650005,,,37.00793010441692,-1
0,Сургутнефтегаз,rub,2020-05-06 12:00:00+05:00,37.03,36.63,36.505,37.06,,0.2335386098985004,,,37.00793010441692,-1
1,Сургутнефтегаз,rub,2020-05-06 12:30:00+05:00,36.67,36.485,36.41,36.685,,0.23768474890865093,,,36.905133667323284,-1
2,Сургутнефтегаз,rub,2020-05-06 13:00:00+05:00,36.355,36.485,36.355,36.615,,0.23991627401778634,,,36.846318261186354,-1
3,Сургутнефтегаз,rub,2020-05-06 13:30:00+05:00,36.76,36.89,36.7,36.95,,0.26242464661600806,,,36.42593315281069,1
4,Сургутнефтегаз,rub,2020-05-06 14:00:00+05:00,36.86,36.825,36.78,36.89,,0.2471821819544072,,,36.46189664687719,1
5,Сургутнефтегаз,rub,2020-05-06 14:30:00+05:00,36.91,36.95,36.875,37.015,,0.24146396375896625,,,36.58156377365362,1
6,Сургутнефтегаз,rub,2020-05-06 15:00:00+05:00,37.08,36.945,36.91,37.095,,0.23581756738306986,,,36.64840229708605,1
7,Сургутнефтегаз,rub,2020-05-06 15:30:00+05:00,36.88,36.935,36.855,36.99,,0.2257358106447634,-0.015701815142151077,,36.64840229708605,1
8,Сургутнефтегаз,rub,2020-05-06 16:00:00+05:00,36.925,36.935,36.905,36.995,,0.2121622295802867,-0.006239299606313864,,36.64840229708605,1
9,Сургутнефтегаз,rub,2020-05-06 16:30:00+05:00,36.865,36.815,36.73,36.895,,0.2114460066222586,-0.008327194276454009,,36.64840229708605,1
10,Сургутнефтегаз,rub,2020-05-06 17:00:00+05:00,36.715,36.595,36.595,36.775,,0.2123014059600326,-0.027417969937950204,,37.00174068203653,-1
11,Сургутнефтегаз,rub,2020-05-06 17:30:00+05:00,36.67,36.5,36.49,36.73,,0.21507126536402882,-0.04964102243697255,,36.93128044238797,-1
12,Сургутнефтегаз,rub,2020-05-06 18:00:00+05:00,36.53,36.655,36.52,36.7,,0.21356413882762623,-0.05412186388279849,,36.929058194486664,-1
13,Сургутнефтегаз,rub,2020-05-06 18:30:00+05:00,36.71,36.465,36.4,36.75,,0.22720772494486371,-0.0721724164243156,,36.91546925055809,-1
14,Сургутнефтегаз,rub,2020-05-06 19:00:00+05:00,36.31,36.04,36.0,36.4,,0.2509869524503777,-0.11939524344203534,,36.57744184758431,-1
15,Сургутнефтегаз,rub,2020-05-06 19:30:00+05:00,36.215,36.26,36.085,36.4,,0.2618882572053399,-0.13748269773293487,-0.07057599073567425,36.57744184758431,-1
16,Сургутнефтегаз,rub,2020-05-06 20:00:00+05:00,36.13,35.895,35.82,36.165,,0.2796994314848057,-0.1792038348812639,-0.09230155956479219,36.41405480306956,-1
17,Сургутнефтегаз,rub,2020-05-06 20:30:00+05:00,35.76,35.89,35.745,35.925,,0.2697294883363251,-0.21024798695039948,-0.11589084504191366,36.24101021761609,-1
0,Сургутнефтегаз,rub,2020-05-07 12:00:00+05:00,35.925,35.86,35.6,36.035,,0.2862565395026921,-0.23456750225299317,-0.13962617648412956,36.24101021761609,-1
1,Сургутнефтегаз,rub,2020-05-07 12:30:00+05:00,35.985,36.19,35.925,36.19,,0.2906308855524227,-0.22462333330484796,-0.15662560784827326,36.24101021761609,-1
2,Сургутнефтегаз,rub,2020-05-07 13:00:00+05:00,35.99,35.965,35.77,35.995,,0.3035677969971799,-0.23222122562974334,-0.17174473140456728,36.24101021761609,-1
3,Сургутнефтегаз,rub,2020-05-07 13:30:00+05:00,36.05,36.005,36.0,36.14,,0.2907110172974616,-0.2323367113472159,-0.18386312739309701,36.24101021761609,-1
4,Сургутнефтегаз,rub,2020-05-07 14:00:00+05:00,36.0,36.06,35.95,36.075,,0.27413991556771544,-0.22539201541248843,-0.1921689049969753,36.24101021761609,-1
