Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум
ЛУКОЙЛ,rub,2020-05-05 12:00:00+05:00,4950.0,4923.5,4905.0,4985.0
ЛУКОЙЛ,rub,2020-05-05 12:30:00+05:00,4925.0,4910.5,4886.5,4936.0
ЛУКОЙЛ,rub,2020-05-05 13:00:00+05:00,4910.5,4917.0,4899.0,4921.5
ЛУКОЙЛ,rub,2020-05-05 13:30:00+05:00,4916.0,4886.5,4880.0,4920.0
ЛУКОЙЛ,rub,2020-05-05 14:00:00+05:00,4886.0,4902.0,4884.0,4907.5
ЛУКОЙЛ,rub,2020-05-05 14:30:00+05:00,4902.0,4921.0,4901.5,4940.0
ЛУКОЙЛ,rub,2020-05-05 15:00:00+05:00,4921.5,4931.5,4918.0,4936.0
ЛУКОЙЛ,rub,2020-05-05 15:30:00+05:00,4931.0,4932.0,4918.0,4940.0
ЛУКОЙЛ,rub,2020-05-05 16:00:00+05:00,4933.0,4931.0,4921.5,4937.0
ЛУКОЙЛ,rub,2020-05-05 16:30:00+05:00,4931.0,4936.5,4929.5,4944.5
ЛУКОЙЛ,rub,2020-05-05 17:00:00+05:00,4937.0,4945.0,4933.0,4946.0
ЛУКОЙЛ,rub,2020-05-05 17:30:00+05:00,4945.0,4960.0,4944.5,4970.0
ЛУКОЙЛ,rub,2020-05-05 18:00:00+05:00,4960.0,4952.5,4941.5,4966.0
ЛУКОЙЛ,rub,2020-05-05 18:30:00+05:00,4950.5,4934.0,4929.5,4954.0
ЛУКОЙЛ,rub,2020-05-05 19:00:00+05:00,4933.5,4954.5,4929.0,4956.5
ЛУКОЙЛ,rub,2020-05-05 19:30:00+05:00,4955.0,4955.0,4951.0,4977.0
ЛУКОЙЛ,rub,2020-05-05 20:00:00+05:00,4954.0,4977.5,4944.0,4984.0
ЛУКОЙЛ,rub,2020-05-05 20:30:00+05:00,4977.5,4975.0,4970.0,4980.0
ЛУКОЙЛ,rub,2020-05-06 12:00:00+05:00,5000.0,4970.0,4962.0,5014.5
ЛУКОЙЛ,rub,2020-05-06 12:30:00+05:00,4970.0,4953.0,4944.0,4975.0
ЛУКОЙЛ,rub,2020-05-06 13:00:00+05:00,4951.5,4974.0,4948.5,4983.0
ЛУКОЙЛ,rub,2020-05-06 13:30:00+05:00,4973.5,4985.5,4971.5,4997.5
ЛУКОЙЛ,rub,2020-05-06 14:00:00+05:00,4987.0,4995.0,4982.0,4997.0
ЛУКОЙЛ,rub,2020-05-06 14:30:00+05:00,4995.0,4987.5,4981.0,4997.0
ЛУКОЙЛ,rub,2020-05-06 15:00:00+05:00,4988.0,4971.0,4967.0,4990.0
ЛУКОЙЛ,rub,2020-05-06 15:30:00+05:00,4971.0,4974.0,4966.0,4982.5
ЛУКОЙЛ,rub,2020-05-06 16:00:00+05:00,4973.5,4947.5,4940.0,4973.5
ЛУКОЙЛ,rub,2020-05-06 16:30:00+05:00,4946.0,4898.0,4893.0,4956.0
ЛУКОЙЛ,rub,2020-05-06 17:00:00+05:00,4898.0,4904.0,4870.0,4911.5
ЛУКОЙЛ,rub,2020-05-06 17:30:00+05:00,4906.0,4868.5,4853.0,4907.5
ЛУКОЙЛ,rub,2020-05-06 18:00:00+05:00,4868.5,4884.5,4867.5,4897.0
ЛУКОЙЛ,rub,2020-05-06 18:30:00+05:00,4884.5,4851.0,4847.5,4887.5
