Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум
РУСАЛ,rub,2020-05-05 12:00:00+05:00,26.345,26.285,26.075,26.5
РУСАЛ,rub,2020-05-05 12:30:00+05:00,26.285,26.24,26.24,26.33
РУСАЛ,rub,2020-05-05 13:00:00+05:00,26.25,26.31,26.18,26.33
РУСАЛ,rub,2020-05-05 13:30:00+05:00,26.305,26.215,26.11,26.315
РУСАЛ,rub,2020-05-05 14:00:00+05:00,26.215,26.225,26.19,26.285
РУСАЛ,rub,2020-05-05 14:30:00+05:00,26.225,26.49,26.215,26.53
РУСАЛ,rub,2020-05-05 15:00:00+05:00,26.49,26.31,26.295,26.51
РУСАЛ,rub,2020-05-05 15:30:00+05:00,26.325,26.42,26.31,26.44
РУСАЛ,rub,2020-05-05 16:00:00+05:00,26.415,26.375,26.31,26.415
РУСАЛ,rub,2020-05-05 16:30:00+05:00,26.395,26.46,26.38,26.49
РУСАЛ,rub,2020-05-05 17:00:00+05:00,26.465,26.41,26.365,26.465
РУСАЛ,rub,2020-05-05 17:30:00+05:00,26.43,26.4,26.375,26.44
РУСАЛ,rub,2020-05-05 18:00:00+05:00,26.4,26.425,26.385,26.46
РУСАЛ,rub,2020-05-05 18:30:00+05:00,26.425,26.42,26.385,26.45
РУСАЛ,rub,2020-05-05 19:00:00+05:00,26.42,26.44,26.375,26.48
РУСАЛ,rub,2020-05-05 19:30:00+05:00,26.445,26.435,26.415,26.48
РУСАЛ,rub,2020-05-05 20:00:00+05:00,26.45,26.415,26.405,26.455
РУСАЛ,rub,2020-05-05 20:30:00+05:00,26.415,26.43,26.38,26.43
РУСАЛ,rub,2020-05-06 12:00:00+05:00,26.455,26.525,26.355,26.615
РУСАЛ,rub,2020-05-06 12:30:00+05:00,26.525,26.32,26.29,26.55
РУСАЛ,rub,2020-05-06 13:00:00+05:00,26.335,26.44,26.335,26.495
РУСАЛ,rub,2020-05-06 13:30:00+05:00,26.46,26.55,26.42,26.55
РУСАЛ,rub,2020-05-06 14:00:00+05:00,26.55,26.585,26.49,26.6
РУСАЛ,rub,2020-05-06 14:30:00+05:00,26.57,26.585,26.535,26.595
РУСАЛ,rub,2020-05-06 15:00:00+05:00,26.585,26.565,26.5,26.595
РУСАЛ,rub,2020-05-06 15:30:00+05:00,26.545,26.575,26.525,26.6
РУСАЛ,rub,2020-05-06 16:00:00+05:00,26.585,26.535,26.52,26.6
РУСАЛ,rub,2020-05-06 16:30:00+05:00,26.535,26.49,26.45,26.6
РУСАЛ,rub,2020-05-06 17:00:00+05:00,26.49,26.41,26.325,26.52
РУСАЛ,rub,2020-05-06 17:30:00+05:00,26.38,26.29,26.245,26.405
РУСАЛ,rub,2020-05-06 18:00:00+05:00,26.285,26.365,26.28,26.41
РУСАЛ,rub,2020-05-06 18:30:00+05:00,26.385,26.315,26.255,26.395
РУСАЛ,rub,2020-05-06 19:00:00+05:00,26.325,26.425,26.28,26.435
РУСАЛ,rub,2020-05-06 19:30:00+05:00,26.43,26.345,26.31,26.495
РУСАЛ,rub,2020-05-06 20:00:00+05:00,26.335,26.24,26.12,26.335
РУСАЛ,rub,2020-05-06 20:30:00+05:00,26.26,26.17,26.15,26.28
РУСАЛ,rub,2020-05-07 12:00:00+05:00,26.13,26.2,26.005,26.3
РУСАЛ,rub,2020-05-07 12:30:00+05:00,26.22,26.165,26.16,26.27
РУСАЛ,rub,2020-05-07 13:00:00+05:00,26.16,26.2,26.05,26.215
РУСАЛ,rub,2020-05-07 13:30:00+05:00,26.195,26.225,26.19,26.265
РУСАЛ,rub,2020-05-07 14:00:00+05:00,26.22,26.245,26.185,26.295
РУСАЛ,rub,2020-05-07 14:30:00+05:00,26.265,26.3,26.225,26.35
РУСАЛ,rub,2020-05-07 15:00:00+05:00,26.3,26.2,26.19,26.325
РУСАЛ,rub,2020-05-07 15:30:00+05:00,26.2,26.235,26.18,26.28
РУСАЛ,rub,2020-05-07 16:00:00+05:00,26.23,26.22,26.18,26.3
РУСАЛ,rub,2020-05-07 16:30:00+05:00,26.24,26.325,26.2,26.35
РУСАЛ,rub,2020-05-07 17:00:00+05:00,26.325,26.215,26.19,26.325
РУСАЛ,rub,2020-05-07 17:30:00+05:00,26.21,26.18,26.15,26.26
РУСАЛ,rub,2020-05-07 18:00:00+05:00,26.17,26.175,26.12,26.195
РУСАЛ,rub,2020-05-07 18:30:00+05:00,26.175,26.045,25.94,26.19
РУСАЛ,rub,2020-05-07 19:00:00+05:00,26.045,25.955,25.905,26.08
РУСАЛ,rub,2020-05-07 19:30:00+05:00,25.945,25.925,25.915,26.02
РУСАЛ,rub,2020-05-07 20:00:00+05:00,25.95,26.0,25.92,26.015
РУСАЛ,rub,2020-05-07 20:30:00+05:00,26.0,26.0,25.98,26.07
РУСАЛ,rub,2020-05-08 12:00:00+05:00,26.115,25.88,25.81,26.115
РУСАЛ,rub,2020-05-08 12:30:00+05:00,25.9,25.81,25.785,25.925
РУСАЛ,rub,2020-05-08 13:00:00+05:00,25.8,25.96,25.755,25.96
РУСАЛ,rub,2020-05-08 13:30:00+05:00,25.955,25.945,25.885,25.965
РУСАЛ,rub,2020-05-08 14:45:00+05:00,25.94,25.9,25.87,26.06
РУСАЛ,rub,2020-05-08 15:15:00+05:00,25.9,25.94,25.835,25.97
РУСАЛ,rub,2020-05-08 15:45:00+05:00,25.94,25.8,25.75,25.955
РУСАЛ,rub,2020-05-08 16:15:00+05:00,25.8,25.82,25.705,25.83
РУСАЛ,rub,2020-05-08 16:45:00+05:00,25.82,25.905,25.78,25.92
РУСАЛ,rub,2020-05-08 17:15:00+05:00,25.91,25.925,25.85,25.975
РУСАЛ,rub,2020-05-08 17:45:00+05:00,25.925,25.93,25.855,25.96
РУСАЛ,rub,2020-05-08 18:15:00+05:00,25.93,25.915,25.88,25.95
РУСАЛ,rub,2020-05-08 18:45:00+05:00,25.925,26.055,25.91,26.095
РУСАЛ,rub,2020-05-08 19:15:00+05:00,26.075,26.05,25.975,26.095
РУСАЛ,rub,2020-05-08 19:45:00+05:00,26.04,25.95,25.88,26.04
РУСАЛ,rub,2020-05-08 20:15:00+05:00,25.915,25.905,25.805,25.95
РУСАЛ,rub,2020-05-12 12:00:00+05:00,25.84,25.675,25.44,25.84
РУСАЛ,rub,2020-05-12 12:30:00+05:00,25.675,25.725,25.65,25.73
РУСАЛ,rub,2020-05-12 13:00:00+05:00,25.725,25.85,25.705,25.935
РУСАЛ,rub,2020-05-12 13:30:00+05:00,25.845,25.665,25.66,25.845
РУСАЛ,rub,2020-05-12 14:00:00+05:00,25.665,25.685,25.66,25.725
РУСАЛ,rub,2020-05-12 14:30:00+05:00,25.695,25.705,25.65,25.71
РУСАЛ,rub,2020-05-12 15:00:00+05:00,25.7,25.665,25.64,25.74
РУСАЛ,rub,2020-05-12 15:30:00+05:00,25.665,25.69,25.645,25.76
РУСАЛ,rub,2020-05-12 16:00:00+05:00,25.675,25.705,25.66,25.725
РУСАЛ,rub,2020-05-12 16:30:00+05:00,25.72,25.655,25.63,25.72
РУСАЛ,rub,2020-05-12 17:00:00+05:00,25.635,25.565,25.56,25.67
РУСАЛ,rub,2020-05-12 17:30:00+05:00,25.58,25.48,25.45,25.7
РУСАЛ,rub,2020-05-12 18:00:00+05:00,25.46,25.615,25.45,25.645
РУСАЛ,rub,2020-05-12 18:30:00+05:00,25.61,25.5,25.46,25.615
РУСАЛ,rub,2020-05-12 19:00:00+05:00,25.5,25.58,25.495,25.615
РУСАЛ,rub,2020-05-12 19:30:00+05:00,25.58,25.665,25.555,25.705
РУСАЛ,rub,2020-05-12 20:00:00+05:00,25.665,25.73,25.6,25.825
РУСАЛ,rub,2020-05-12 20:30:00+05:00,25.73,25.79,25.7,25.82
РУСАЛ,rub,2020-05-13 12:00:00+05:00,25.535,25.27,25.25,25.6
РУСАЛ,rub,2020-05-13 12:30:00+05:00,25.27,25.26,25.125,25.38
РУСАЛ,rub,2020-05-13 13:00:00+05:00,25.235,25.405,25.2,25.425
РУСАЛ,rub,2020-05-13 13:30:00+05:00,25.43,25.35,25.24,25.54
РУСАЛ,rub,2020-05-13 14:00:00+05:00,25.35,25.445,25.29,25.49
РУСАЛ,rub,2020-05-13 14:30:00+05:00,25.425,25.48,25.405,25.545
РУСАЛ,rub,2020-05-13 15:00:00+05:00,25.465,25.54,25.415,25.55
РУСАЛ,rub,2020-05-13 15:30:00+05:00,25.54,25.495,25.48,25.565
РУСАЛ,rub,2020-05-13 16:00:00+05:00,25.5,25.55,25.5,25.565
РУСАЛ,rub,2020-05-13 16:30:00+05:00,25.55,25.58,25.525,25.58
РУСАЛ,rub,2020-05-13 17:00:00+05:00,25.58,25.565,25.545,25.58
РУСАЛ,rub,2020-05-13 17:30:00+05:00,25.57,25.56,25.515,25.575
РУСАЛ,rub,2020-05-13 18:00:00+05:00,25.55,25.565,25.405,25.575
РУСАЛ,rub,2020-05-13 18:30:00+05:00,25.57,25.52,25.415,25.575
РУСАЛ,rub,2020-05-13 19:00:00+05:00,25.505,25.345,25.32,25.54
РУСАЛ,rub,2020-05-13 19:30:00+05:00,25.345,25.27,25.27,25.42
РУСАЛ,rub,2020-05-13 20:00:00+05:00,25.27,25.325,25.2,25.345
РУСАЛ,rub,2020-05-13 20:30:00+05:00,25.34,25.35,25.23,25.35
РУСАЛ,rub,2020-05-14 12:00:00+05:00,25.37,25.27,25.21,25.37
РУСАЛ,rub,2020-05-14 12:30:00+05:00,25.25,25.1,25.075,25.285
РУСАЛ,rub,2020-05-14 13:00:00+05:00,25.095,25.295,25.0,25.295
РУСАЛ,rub,2020-05-14 13:30:00+05:00,25.29,25.3,25.25,25.325
РУСАЛ,rub,2020-05-14 14:00:00+05:00,25.3,25.3,25.265,25.315
РУСАЛ,rub,2020-05-14 14:30:00+05:00,25.305,25.24,25.15,25.305
РУСАЛ,rub,2020-05-14 15:00:00+05:00,25.24,25.235,25.2,25.265
РУСАЛ,rub,2020-05-14 15:30:00+05:00,25.235,25.235,25.15,25.25
РУСАЛ,rub,2020-05-14 16:00:00+05:00,25.23,25.21,25.165,25.25
РУСАЛ,rub,2020-05-14 16:30:00+05:00,25.21,25.195,25.18,25.255
РУСАЛ,rub,2020-05-14 17:00:00+05:00,25.18,25.11,25.105,25.21
РУСАЛ,rub,2020-05-14 17:30:00+05:00,25.105,25.04,24.92,25.12
РУСАЛ,rub,2020-05-14 18:00:00+05:00,25.04,25.12,25.015,25.13
РУСАЛ,rub,2020-05-14 18:30:00+05:00,25.09,25.105,25.0,25.19
РУСАЛ,rub,2020-05-14 19:00:00+05:00,25.075,25.295,25.06,25.45
РУСАЛ,rub,2020-05-14 19:30:00+05:00,25.265,25.685,25.265,25.74
РУСАЛ,rub,2020-05-14 20:00:00+05:00,25.675,25.28,25.27,25.795
РУСАЛ,rub,2020-05-14 20:30:00+05:00,25.3,25.4,25.245,25.48
РУСАЛ,rub,2020-05-15 12:00:00+05:00,25.515,25.495,25.4,25.6
РУСАЛ,rub,2020-05-15 12:30:00+05:00,25.5,25.3,25.265,25.515
РУСАЛ,rub,2020-05-15 13:00:00+05:00,25.315,25.48,25.295,25.5
РУСАЛ,rub,2020-05-15 13:30:00+05:00,25.48,25.455,25.41,25.5
РУСАЛ,rub,2020-05-15 14:00:00+05:00,25.455,25.44,25.375,25.53
РУСАЛ,rub,2020-05-15 14:30:00+05:00,25.465,25.39,25.365,25.505
РУСАЛ,rub,2020-05-15 15:00:00+05:00,25.395,25.39,25.365,25.395
РУСАЛ,rub,2020-05-15 15:30:00+05:00,25.395,25.32,25.3,25.395
РУСАЛ,rub,2020-05-15 16:00:00+05:00,25.32,25.33,25.3,25.42
РУСАЛ,rub,2020-05-15 16:30:00+05:00,25.33,25.255,25.25,25.33
РУСАЛ,rub,2020-05-15 17:00:00+05:00,25.255,25.275,25.255,25.35
РУСАЛ,rub,2020-05-15 17:30:00+05:00,25.26,25.275,25.21,25.305
РУСАЛ,rub,2020-05-15 18:00:00+05:00,25.275,25.3,25.215,25.395
РУСАЛ,rub,2020-05-15 18:30:00+05:00,25.34,25.295,25.225,25.35
РУСАЛ,rub,2020-05-15 19:00:00+05:00,25.285,25.355,25.28,25.365
РУСАЛ,rub,2020-05-15 19:30:00+05:00,25.37,25.33,25.29,25.4
РУСАЛ,rub,2020-05-15 20:00:00+05:00,25.33,25.3,25.275,25.345
РУСАЛ,rub,2020-05-15 20:30:00+05:00,25.315,25.22,25.22,25.315
РУСАЛ,rub,2020-05-18 12:00:00+05:00,25.545,25.42,25.275,25.57
РУСАЛ,rub,2020-05-18 12:30:00+05:00,25.445,25.49,25.415,25.5
РУСАЛ,rub,2020-05-18 13:00:00+05:00,25.5,25.64,25.475,25.745
РУСАЛ,rub,2020-05-18 13:30:00+05:00,25.65,25.65,25.605,25.71
РУСАЛ,rub,2020-05-18 14:00:00+05:00,25.65,25.535,25.505,25.66
РУСАЛ,rub,2020-05-18 14:30:00+05:00,25.54,25.645,25.53,25.695
РУСАЛ,rub,2020-05-18 15:00:00+05:00,25.645,25.655,25.645,25.695
РУСАЛ,rub,2020-05-18 15:30:00+05:00,25.675,25.67,25.615,25.68
РУСАЛ,rub,2020-05-18 16:00:00+05:00,25.68,25.6,25.555,25.68
РУСАЛ,rub,2020-05-18 16:30:00+05:00,25.6,25.55,25.515,25.6
РУСАЛ,rub,2020-05-18 17:00:00+05:00,25.55,25.55,25.545,25.55
РУСАЛ,rub,2020-05-18 17:30:00+05:00,25.55,25.6,25.515,25.62
РУСАЛ,rub,2020-05-18 18:00:00+05:00,25.595,25.615,25.57,25.65
РУСАЛ,rub,2020-05-18 18:30:00+05:00,25.61,25.6,25.58,25.68
РУСАЛ,rub,2020-05-18 19:00:00+05:00,25.6,25.6,25.57,25.7
РУСАЛ,rub,2020-05-18 19:30:00+05:00,25.58,25.7,25.58,25.7
РУСАЛ,rub,2020-05-18 20:00:00+05:00,25.695,25.685,25.6,25.7
РУСАЛ,rub,2020-05-18 20:30:00+05:00,25.675,25.73,25.665,25.73
РУСАЛ,rub,2020-05-19 12:00:00+05:00,25.95,25.88,25.8,25.995
РУСАЛ,rub,2020-05-19 12:30:00+05:00,25.88,25.85,25.815,25.93
РУСАЛ,rub,2020-05-19 13:00:00+05:00,25.85,25.87,25.8,25.895
РУСАЛ,rub,2020-05-19 13:30:00+05:00,25.875,25.92,25.8,25.92
РУСАЛ,rub,2020-05-19 14:00:00+05:00,25.92,25.87,25.84,25.94
РУСАЛ,rub,2020-05-19 14:30:00+05:00,25.875,25.875,25.8,25.905
РУСАЛ,rub,2020-05-19 15:00:00+05:00,25.865,25.77,25.745,25.865
РУСАЛ,rub,2020-05-19 15:30:00+05:00,25.79,25.74,25.715,25.85
РУСАЛ,rub,2020-05-19 16:00:00+05:00,25.76,25.83,25.74,25.83
РУСАЛ,rub,2020-05-19 16:30:00+05:00,25.83,25.935,25.8,26.05
РУСАЛ,rub,2020-05-19 17:00:00+05:00,25.94,25.83,25.8,25.97
РУСАЛ,rub,2020-05-19 17:30:00+05:00,25.83,25.835,25.8,25.835
РУСАЛ,rub,2020-05-19 18:00:00+05:00,25.835,25.825,25.8,25.845
РУСАЛ,rub,2020-05-19 18:30:00+05:00,25.82,25.855,25.8,25.885
РУСАЛ,rub,2020-05-19 19:00:00+05:00,25.86,25.82,25.8,25.87
РУСАЛ,rub,2020-05-19 19:30:00+05:00,25.83,25.83,25.75,25.855
РУСАЛ,rub,2020-05-19 20:00:00+05:00,25.825,25.79,25.775,25.83
РУСАЛ,rub,2020-05-19 20:30:00+05:00,25.81,25.8,25.7,25.83
РУСАЛ,rub,2020-05-20 12:00:00+05:00,25.8,25.765,25.475,25.835
РУСАЛ,rub,2020-05-20 12:30:00+05:00,25.75,25.86,25.705,25.925
РУСАЛ,rub,2020-05-20 13:00:00+05:00,25.86,26.245,25.85,26.25
РУСАЛ,rub,2020-05-20 13:30:00+05:00,26.235,26.2,26.185,26.31
РУСАЛ,rub,2020-05-20 14:00:00+05:00,26.2,26.15,26.06,26.28
РУСАЛ,rub,2020-05-20 14:30:00+05:00,26.145,26.23,26.125,26.25
РУСАЛ,rub,2020-05-20 15:00:00+05:00,26.23,26.34,26.2,26.385
РУСАЛ,rub,2020-05-20 15:30:00+05:00,26.335,26.405,26.285,26.44
РУСАЛ,rub,2020-05-20 16:00:00+05:00,26.405,26.4,26.3,26.61
