Value Classic,Value Signal,Time
,,2020-05-05 12:00:00+05:00
,,2020-05-05 12:30:00+05:00
,,2020-05-05 13:00:00+05:00
,,2020-05-05 13:30:00+05:00
,,2020-05-05 14:00:00+05:00
,,2020-05-05 14:30:00+05:00
,,2020-05-05 15:00:00+05:00
,,2020-05-05 15:30:00+05:00
,,2020-05-05 16:00:00+05:00
,,2020-05-05 16:30:00+05:00
,,2020-05-05 17:00:00+05:00
,,2020-05-05 17:30:00+05:00
,,2020-05-05 18:00:00+05:00
,,2020-05-05 18:30:00+05:00
,,2020-05-05 19:00:00+05:00
,,2020-05-05 19:30:00+05:00
,,2020-05-05 20:00:00+05:00
,,2020-05-05 20:30:00+05:00
,,2020-05-06 12:00:00+05:00
,,2020-05-06 12:30:00+05:00
,,2020-05-06 13:00:00+05:00
,,2020-05-06 13:30:00+05:00
,,2020-05-06 14:00:00+05:00
,,2020-05-06 14:30:00+05:00
,,2020-05-06 15:00:00+05:00
0.06246227721467079,,2020-05-06 15:30:00+05:00
0.06037915573753594,,2020-05-06 16:00:00+05:00
0.05446925536954694,,2020-05-06 16:30:00+05:00
0.04283649291178193,,2020-05-06 17:00:00+05:00
0.023661690497160492,,2020-05-06 17:30:00+05:00
0.01435195424072333,,2020-05-06 18:00:00+05:00
0.0029058423105716713,,2020-05-06 18:30:00+05:00
0.002679904561190938,,2020-05-06 19:00:00+05:00
-0.003909418798709652,0.0221018611920545,2020-05-06 19:30:00+05:00
-0.017403510675571,0.0142007868185294,2020-05-06 20:00:00+05:00
-0.03336151985914526,0.004688325482994469,2020-05-06 20:30:00+05:00
-0.043090882953293885,-0.0048675162042632015,2020-05-07 12:00:00+05:00
-0.05301456192502485,-0.014496925348415533,2020-05-07 12:30:00+05:00
-0.057393346738489726,-0.023076209626430373,2020-05-07 13:00:00+05:00
-0.05817566137310237,-0.030096099975764776,2020-05-07 13:30:00+05:00
-0.056530173848958754,-0.035382914750403574,2020-05-07 14:00:00+05:00
-0.050209291328915384,-0.03834819006610594,2020-05-07 14:30:00+05:00
-0.052662055265304986,-0.04121096310594575,2020-05-07 15:00:00+05:00
-0.051191576238078795,-0.043207085732372356,2020-05-07 15:30:00+05:00
-0.0506526929405382,-0.04469620717400553,2020-05-07 16:00:00+05:00
-0.041277183884734114,-0.044012402516151246,2020-05-07 16:30:00+05:00
-0.04223623309874114,-0.043657168632669226,2020-05-07 17:00:00+05:00
-0.04529832313138016,-0.043985399532411415,2020-05-07 17:30:00+05:00
-0.047580036711011076,-0.04470432696813135,2020-05-07 18:00:00+05:00
-0.05919585177526798,-0.04760263192955867,2020-05-07 18:30:00+05:00
-0.07480145216150902,-0.053042395975948745,2020-05-07 19:00:00+05:00
-0.08856878634261989,-0.06014767404928298,2020-05-07 19:30:00+05:00
-0.09236292239513944,-0.06659072371845427,2020-05-07 20:00:00+05:00
-0.09428296719531915,-0.07212917241382726,2020-05-07 20:30:00+05:00
-0.10428547560348633,-0.07856043305175907,2020-05-08 12:00:00+05:00
-0.1165178058309273,-0.08615190760759273,2020-05-08 12:30:00+05:00
-0.11280789013071058,-0.0914831041122163,2020-05-08 13:00:00+05:00
-0.10981228221594463,-0.09514893973296198,2020-05-08 13:30:00+05:00
-0.10980361752812229,-0.09807987529199405,2020-05-08 14:45:00+05:00
-0.10535462248748928,-0.0995348247310931,2020-05-08 15:15:00+05:00
-0.11183641130194744,-0.10199514204526397,2020-05-08 15:45:00+05:00
-0.11404480525855121,-0.10440507468792143,2020-05-08 16:15:00+05:00
-0.10769474576292026,-0.10506300890292121,2020-05-08 16:45:00+05:00
-0.09989689577901473,-0.10402978627813991,2020-05-08 17:15:00+05:00
-0.09225018259186157,-0.10167386554088426,2020-05-08 17:45:00+05:00
-0.08640446505102162,-0.09861998544291174,2020-05-08 18:15:00+05:00
-0.0696717294842557,-0.09283033425118054,2020-05-08 18:45:00+05:00
-0.0561669169520691,-0.08549765079135825,2020-05-08 19:15:00+05:00
-0.05292335252426028,-0.07898279113793866,2020-05-08 19:45:00+05:00
-0.05336872680419802,-0.07385997827119054,2020-05-08 20:15:00+05:00
-0.07145705449583772,-0.07337939351611998,2020-05-12 12:00:00+05:00
-0.08082589180984456,-0.0748686931748649,2020-05-12 12:30:00+05:00
-0.0772735462090246,-0.07534966378169684,2020-05-12 13:00:00+05:00
-0.08836759400087857,-0.07795324982553319,2020-05-12 13:30:00+05:00
