Название,Валюта,Время,Цена открытия,Цена закрытия,Минимум,Максимум
Сургутнефтегаз,rub,2020-05-05 12:00:00+05:00,36.99,37.11,36.91,37.195
Сургутнефтегаз,rub,2020-05-05 12:30:00+05:00,37.12,37.05,37.04,37.315
Сургутнефтегаз,rub,2020-05-05 13:00:00+05:00,37.04,36.875,36.74,37.05
Сургутнефтегаз,rub,2020-05-05 13:30:00+05:00,36.86,36.795,36.715,36.92
Сургутнефтегаз,rub,2020-05-05 14:00:00+05:00,36.785,36.66,36.65,36.9
Сургутнефтегаз,rub,2020-05-05 14:30:00+05:00,36.65,36.825,36.625,36.88
Сургутнефтегаз,rub,2020-05-05 15:00:00+05:00,36.825,36.55,36.54,36.83
Сургутнефтегаз,rub,2020-05-05 15:30:00+05:00,36.55,36.57,36.48,36.67
Сургутнефтегаз,rub,2020-05-05 16:00:00+05:00,36.58,36.71,36.575,36.71
Сургутнефтегаз,rub,2020-05-05 16:30:00+05:00,36.705,36.74,36.65,36.805
Сургутнефтегаз,rub,2020-05-05 17:00:00+05:00,36.74,36.82,36.68,36.825
Сургутнефтегаз,rub,2020-05-05 17:30:00+05:00,36.82,36.92,36.8,36.985
Сургутнефтегаз,rub,2020-05-05 18:00:00+05:00,36.94,37.005,36.865,37.14
Сургутнефтегаз,rub,2020-05-05 18:30:00+05:00,37.0,36.955,36.835,37.18
Сургутнефтегаз,rub,2020-05-05 19:00:00+05:00,36.94,36.81,36.775,36.99
Сургутнефтегаз,rub,2020-05-05 19:30:00+05:00,36.79,36.71,36.65,36.82
Сургутнефтегаз,rub,2020-05-05 20:00:00+05:00,36.69,36.75,36.69,36.81
Сургутнефтегаз,rub,2020-05-05 20:30:00+05:00,36.74,36.845,36.74,37.02
Сургутнефтегаз,rub,2020-05-06 12:00:00+05:00,37.03,36.67,36.505,37.06
Сургутнефтегаз,rub,2020-05-06 12:30:00+05:00,36.67,36.36,36.36,36.685
Сургутнефтегаз,rub,2020-05-06 13:00:00+05:00,36.355,36.78,36.355,36.87
Сургутнефтегаз,rub,2020-05-06 13:30:00+05:00,36.76,36.85,36.7,36.95
Сургутнефтегаз,rub,2020-05-06 14:00:00+05:00,36.86,36.925,36.78,36.94
Сургутнефтегаз,rub,2020-05-06 14:30:00+05:00,36.91,37.075,36.875,37.165
Сургутнефтегаз,rub,2020-05-06 15:00:00+05:00,37.08,36.88,36.795,37.095
Сургутнефтегаз,rub,2020-05-06 15:30:00+05:00,36.88,36.93,36.855,36.995
Сургутнефтегаз,rub,2020-05-06 16:00:00+05:00,36.925,36.88,36.85,36.995
Сургутнефтегаз,rub,2020-05-06 16:30:00+05:00,36.865,36.725,36.68,36.895
Сургутнефтегаз,rub,2020-05-06 17:00:00+05:00,36.715,36.655,36.52,36.775
Сургутнефтегаз,rub,2020-05-06 17:30:00+05:00,36.67,36.5,36.4,36.73
Сургутнефтегаз,rub,2020-05-06 18:00:00+05:00,36.53,36.685,36.52,36.77
Сургутнефтегаз,rub,2020-05-06 18:30:00+05:00,36.71,36.315,36.275,36.75
Сургутнефтегаз,rub,2020-05-06 19:00:00+05:00,36.31,36.165,36.0,36.4
Сургутнефтегаз,rub,2020-05-06 19:30:00+05:00,36.215,36.125,35.955,36.4
Сургутнефтегаз,rub,2020-05-06 20:00:00+05:00,36.13,35.75,35.72,36.165
Сургутнефтегаз,rub,2020-05-06 20:30:00+05:00,35.76,35.72,35.72,35.925
Сургутнефтегаз,rub,2020-05-07 12:00:00+05:00,35.925,35.97,35.6,36.105
Сургутнефтегаз,rub,2020-05-07 12:30:00+05:00,35.985,35.985,35.925,36.215
Сургутнефтегаз,rub,2020-05-07 13:00:00+05:00,35.99,36.065,35.77,36.08
Сургутнефтегаз,rub,2020-05-07 13:30:00+05:00,36.05,36.0,35.97,36.14
Сургутнефтегаз,rub,2020-05-07 14:00:00+05:00,36.0,36.22,35.95,36.35
Сургутнефтегаз,rub,2020-05-07 14:30:00+05:00,36.24,36.475,36.225,36.625
Сургутнефтегаз,rub,2020-05-07 15:00:00+05:00,36.45,36.26,36.24,36.485
Сургутнефтегаз,rub,2020-05-07 15:30:00+05:00,36.27,36.395,36.265,36.41
Сургутнефтегаз,rub,2020-05-07 16:00:00+05:00,36.41,36.36,36.35,36.515
Сургутнефтегаз,rub,2020-05-07 16:30:00+05:00,36.36,36.555,36.36,36.59
Сургутнефтегаз,rub,2020-05-07 17:00:00+05:00,36.565,36.565,36.425,36.595
Сургутнефтегаз,rub,2020-05-07 17:30:00+05:00,36.57,36.485,36.435,36.59
Сургутнефтегаз,rub,2020-05-07 18:00:00+05:00,36.49,36.645,36.23,36.745
Сургутнефтегаз,rub,2020-05-07 18:30:00+05:00,36.645,36.755,36.595,36.925
Сургутнефтегаз,rub,2020-05-07 19:00:00+05:00,36.78,36.525,36.43,36.79
Сургутнефтегаз,rub,2020-05-07 19:30:00+05:00,36.535,36.665,36.52,36.765
Сургутнефтегаз,rub,2020-05-07 20:00:00+05:00,36.665,36.775,36.66,36.845
Сургутнефтегаз,rub,2020-05-07 20:30:00+05:00,36.775,36.54,36.54,36.79
Сургутнефтегаз,rub,2020-05-08 12:00:00+05:00,36.68,36.425,36.37,36.785
Сургутнефтегаз,rub,2020-05-08 12:30:00+05:00,36.45,36.385,36.235,36.455
Сургутнефтегаз,rub,2020-05-08 13:00:00+05:00,36.385,36.385,36.34,36.62
Сургутнефтегаз,rub,2020-05-08 13:30:00+05:00,36.39,36.365,36.32,36.45
Сургутнефтегаз,rub,2020-05-08 14:45:00+05:00,36.355,36.475,36.355,36.61
Сургутнефтегаз,rub,2020-05-08 15:15:00+05:00,36.475,36.605,36.43,36.615
Сургутнефтегаз,rub,2020-05-08 15:45:00+05:00,36.61,36.355,36.35,36.675
Сургутнефтегаз,rub,2020-05-08 16:15:00+05:00,36.37,36.415,36.3,36.42
Сургутнефтегаз,rub,2020-05-08 16:45:00+05:00,36.415,36.385,36.33,36.48
Сургутнефтегаз,rub,2020-05-08 17:15:00+05:00,36.385,36.485,36.35,36.575
Сургутнефтегаз,rub,2020-05-08 17:45:00+05:00,36.495,36.78,36.43,36.87
Сургутнефтегаз,rub,2020-05-08 18:15:00+05:00,36.805,36.76,36.69,36.85
Сургутнефтегаз,rub,2020-05-08 18:45:00+05:00,36.755,37.015,36.74,37.1
Сургутнефтегаз,rub,2020-05-08 19:15:00+05:00,37.035,36.88,36.86,37.085
Сургутнефтегаз,rub,2020-05-08 19:45:00+05:00,36.865,37.155,36.865,37.235
Сургутнефтегаз,rub,2020-05-08 20:15:00+05:00,37.165,37.3,37.15,37.4
Сургутнефтегаз,rub,2020-05-12 12:00:00+05:00,37.08,37.13,36.9,37.32
Сургутнефтегаз,rub,2020-05-12 12:30:00+05:00,37.145,37.1,37.085,37.27
Сургутнефтегаз,rub,2020-05-12 13:00:00+05:00,37.135,36.965,36.93,37.16
Сургутнефтегаз,rub,2020-05-12 13:30:00+05:00,36.96,36.995,36.92,37.06
Сургутнефтегаз,rub,2020-05-12 14:00:00+05:00,37.015,37.07,36.8,37.155
Сургутнефтегаз,rub,2020-05-12 14:30:00+05:00,37.065,37.06,36.85,37.15
Сургутнефтегаз,rub,2020-05-12 15:00:00+05:00,37.05,37.26,37.05,37.265
Сургутнефтегаз,rub,2020-05-12 15:30:00+05:00,37.27,37.345,37.265,37.49
Сургутнефтегаз,rub,2020-05-12 16:00:00+05:00,37.355,37.275,37.22,37.455
Сургутнефтегаз,rub,2020-05-12 16:30:00+05:00,37.275,37.255,37.205,37.335
Сургутнефтегаз,rub,2020-05-12 17:00:00+05:00,37.265,37.065,36.995,37.275
Сургутнефтегаз,rub,2020-05-12 17:30:00+05:00,37.065,37.155,36.985,37.25
Сургутнефтегаз,rub,2020-05-12 18:00:00+05:00,37.155,37.24,37.125,37.28
Сургутнефтегаз,rub,2020-05-12 18:30:00+05:00,37.25,37.09,36.97,37.305
Сургутнефтегаз,rub,2020-05-12 19:00:00+05:00,37.1,37.22,37.04,37.29
Сургутнефтегаз,rub,2020-05-12 19:30:00+05:00,37.24,37.355,37.185,37.385
Сургутнефтегаз,rub,2020-05-12 20:00:00+05:00,37.355,37.255,37.2,37.42
Сургутнефтегаз,rub,2020-05-12 20:30:00+05:00,37.27,37.16,37.16,37.3
Сургутнефтегаз,rub,2020-05-13 12:00:00+05:00,37.0,36.505,36.44,37.005
Сургутнефтегаз,rub,2020-05-13 12:30:00+05:00,36.515,36.42,36.33,36.625
Сургутнефтегаз,rub,2020-05-13 13:00:00+05:00,36.41,36.605,36.38,36.635
Сургутнефтегаз,rub,2020-05-13 13:30:00+05:00,36.605,36.575,36.565,36.765
Сургутнефтегаз,rub,2020-05-13 14:00:00+05:00,36.57,36.63,36.53,36.7
Сургутнефтегаз,rub,2020-05-13 14:30:00+05:00,36.61,36.7,36.6,36.81
Сургутнефтегаз,rub,2020-05-13 15:00:00+05:00,36.7,36.74,36.68,36.785
Сургутнефтегаз,rub,2020-05-13 15:30:00+05:00,36.74,36.8,36.7,36.925
Сургутнефтегаз,rub,2020-05-13 16:00:00+05:00,36.79,36.795,36.69,36.825
Сургутнефтегаз,rub,2020-05-13 16:30:00+05:00,36.785,36.86,36.75,36.875
Сургутнефтегаз,rub,2020-05-13 17:00:00+05:00,36.87,36.82,36.785,36.93
Сургутнефтегаз,rub,2020-05-13 17:30:00+05:00,36.82,36.615,36.585,36.835
Сургутнефтегаз,rub,2020-05-13 18:00:00+05:00,36.63,36.675,36.505,36.74
Сургутнефтегаз,rub,2020-05-13 18:30:00+05:00,36.685,36.58,36.44,36.715
