Value Classic,Value Signal,Time
,,2020-05-05 12:00:00+05:00
,,2020-05-05 12:30:00+05:00
,,2020-05-05 13:00:00+05:00
,,2020-05-05 13:30:00+05:00
,,2020-05-05 14:00:00+05:00
,,2020-05-05 14:30:00+05:00
,,2020-05-05 15:00:00+05:00
,,2020-05-05 15:30:00+05:00
,,2020-05-05 16:00:00+05:00
,,2020-05-05 16:30:00+05:00
,,2020-05-05 17:00:00+05:00
,,2020-05-05 17:30:00+05:00
,,2020-05-05 18:00:00+05:00
,,2020-05-05 18:30:00+05:00
,,2020-05-05 19:00:00+05:00
,,2020-05-05 19:30:00+05:00
,,2020-05-05 20:00:00+05:00
,,2020-05-05 20:30:00+05:00
,,2020-05-06 12:00:00+05:00
,,2020-05-06 12:30:00+05:00
,,2020-05-06 13:00:00+05:00
,,2020-05-06 13:30:00+05:00
,,2020-05-06 14:00:00+05:00
,,2020-05-06 14:30:00+05:00
,,2020-05-06 15:00:00+05:00
-0.01118151019956315,,2020-05-06 15:30:00+05:00
-0.008029323753639517,,2020-05-06 16:00:00+05:00
-0.017832832107927743,,2020-05-06 16:30:00+05:00
-0.030894465922735037,,2020-05-06 17:00:00+05:00
-0.05314053838820598,,2020-05-06 17:30:00+05:00
-0.055206372503455725,,2020-05-06 18:00:00+05:00
-0.08571144057092539,,2020-05-06 18:30:00+05:00
-0.12060046608736741,,2020-05-06 19:00:00+05:00
-0.14975169159355062,-0.07539625680723015,2020-05-06 19:30:00+05:00
-0.2007989287668437,-0.10047679119915287,2020-05-06 20:00:00+05:00
-0.24089805841808953,-0.12856104464294021,2020-05-06 20:30:00+05:00
-0.2496264584762642,-0.152774127409605,2020-05-07 12:00:00+05:00
-0.2524236213882176,-0.17270402620532754,2020-05-07 12:30:00+05:00
-0.24535674194444113,-0.18723456935315025,2020-05-07 13:00:00+05:00
-0.2422091099933894,-0.1982294774811981,2020-05-07 13:30:00+05:00
-0.2194329412568905,-0.20247017023633657,2020-05-07 14:00:00+05:00
-0.17874582397037386,-0.19772530098314403,2020-05-07 14:30:00+05:00
-0.16198246058100096,-0.19057673290271543,2020-05-07 15:00:00+05:00
-0.13623358657985563,-0.1797081036381435,2020-05-07 15:30:00+05:00
-0.11729947063503232,-0.16722637703752127,2020-05-07 16:00:00+05:00
-0.08557274765107792,-0.1508956511602326,2020-05-07 16:30:00+05:00
-0.05894271969896181,-0.13250506486797844,2020-05-07 17:00:00+05:00
-0.043788792161571166,-0.114761810326697,2020-05-07 17:30:00+05:00
-0.01865350657345033,-0.09554014957604767,2020-05-07 18:00:00+05:00
0.010026885344011305,-0.07442674259203588,2020-05-07 18:30:00+05:00
0.01403543302470922,-0.056734307468686865,2020-05-07 19:00:00+05:00
0.028184176272844752,-0.039750610720380546,2020-05-07 19:30:00+05:00
0.04772311555530706,-0.022255865465243024,2020-05-07 20:00:00+05:00
0.04374110940275955,-0.009056470491642512,2020-05-07 20:30:00+05:00
0.03094904065756765,-0.001055368261800479,2020-05-08 12:00:00+05:00
0.017383185764245468,0.0026323425434087106,2020-05-08 12:30:00+05:00
0.006556567990109841,0.003417187632748937,2020-05-08 13:00:00+05:00
-0.0035959851718558866,0.0020145530718279725,2020-05-08 13:30:00+05:00
-0.0027343560517749665,0.0010647712471073848,2020-05-08 14:45:00+05:00
0.008342240621246333,0.0025202651219351745,2020-05-08 15:15:00+05:00
-0.003017602334324465,0.0014126916306832465,2020-05-08 15:45:00+05:00
-0.007097050777183256,-0.00028925685089005405,2020-05-08 16:15:00+05:00
-0.01260548416372842,-0.002752502313457727,2020-05-08 16:45:00+05:00
-0.00880034810858632,-0.003962071472483446,2020-05-08 17:15:00+05:00
0.01781393624354166,0.00039313007072157595,2020-05-08 17:45:00+05:00
0.03686713411209297,0.007687930878995854,2020-05-08 18:15:00+05:00
0.07171659530127528,0.02049366376345174,2020-05-08 18:45:00+05:00
0.08743379030362064,0.03388168907148552,2020-05-08 19:15:00+05:00
0.1206887574387423,0.051243102744936875,2020-05-08 19:45:00+05:00
0.15693479998120097,0.0723814421921897,2020-05-08 20:15:00+05:00
0.1699830122297854,0.09190175619970885,2020-05-12 12:00:00+05:00
0.17587567980653773,0.10869654092107464,2020-05-12 12:30:00+05:00
0.16771893013240913,0.12050101876334154,2020-05-12 13:00:00+05:00
0.1618101498449036,0.12876284497965396,2020-05-12 13:30:00+05:00
0.16131967925104362,0.1352742118339319,2020-05-12 14:00:00+05:00
